"answer","Schlick","a051_2","q051_sb","q061_sa",,,
"answer","schlickiger Sand","a051_3","q051_sb","q061_sa",,,
"answer","Feinsand","a051_4","q051_sb","q061_sa",,,
"answer","Mittel-/Grobsand","a051_5","q051_sb","q061_sa",,,
"answer","Kies/Kiesel","a051_6","q051_sb","q061_sa",,,
"answer","Steine","a051_7","q051_sb","q061_sa",,,
"answer","Torf/Gyttien","a051_8","q051_sb","q061_sa",,,
,,,,,,,
"question","Sedimentauflage","q061_sa",,,,,"radio button"
"answer","ja","a061_1","q061_sa","q062_saa",,,
"answer","nein","a061_2","q061_sa","q071_rt",,,
,,,,,,,
"question","Art der Sedimentauflage","q062_saa",,,,,"multiselect boxes"
"answer","Klei","a062_1","q062_saa","q063_sab",,,
"answer","Schlick","a062_2","q062_saa","q063_sab",,,
"answer","schlickiger Sand","a062_3","q062_saa","q063_sab",,,
"answer","Feinsand","a062_4","q062_saa","q063_sab",,,
"answer","Mittel-/Grobsand","a062_5","q062_saa","q063_sab",,,
"answer","Kies/Kiesel","a062_6","q062_saa","q063_sab",,,
"answer","Steine","a062_7","q062_saa","q063_sab",,,
"answer","Torf/Gyttien","a062_8","q062_saa","q063_sab",,,
"answer","vollständig abgedeckt (z.B. durch Makrophyten)","a062_9","q062_saa","q063_sab",,,
,,,,,,,
"question","Bedeckung","q063_sab",,,,,"for each sediment cover type that was selected before"
"answer","stellenweise","a063_1","q063_sab","q071_rt",,,"radio button"
"answer","vorherrschend","a063_2","q063_sab","q071_rt",,,
"answer","deckend","a063_3","q063_sab","q071_rt",,,
,,,,,,,
"question","Redox-Tiefe","q071_rt",,,,,"slider"
"answer","Redox-Tiefe","a071_1","q071_rt","q072_sf","slider","0,5,2",
,,,,,,,
"question","Schwarze Flecken, Größe in cm","q072_sf",,,,,"slider"
"answer","centimeters","a072_1","q072_sf","q081_d","slider","0,40,20",
,,,,,,,
"question","Bedeckung","q0721_b",,,,,"slider"
"answer","Bedeckung","a0721_1","q0721_b","q081_d","slider","0,60,30",
,,,,,,,
"question","Diatomeen, in %","q081_d",,,,,"slider"
"answer","%","a081_1","q081_d","q082_dd","slider","0,100,50",
,,,,,,,
"question","Dichte der Diatomeen","q0811_dd",,,,,"radio button"
"answer","vereinzelt","a0811_1","q0811_dd","q0812_dd",,,
"answer","wenig","a0811_2","q0811_dd","q0812_dd",,,
"answer","viel","a0811_3","q0811_dd","q0812_dd",,,
"answer","dicht","a0811_4","q0811_dd","q0812_dd",,,
,,,,,,,
"question","schlauchförmige Diatomeen","q0812_dd",,,,,"radio button"
"answer","vereinzelt","a0812_1","q0812_dd","q082_dd",,,
"answer","wenig","a0812_2","q0812_dd","q082_dd",,,
"answer","viel","a0812_3","q0812_dd","q082_dd",,,
"answer","dicht","a0812_4","q0812_dd","q082_dd",,,
,,,,,,,
"question","sonstige Mikroalgen","q082_dd",,,,,"radio button"
"answer","vereinzelt","a082_1","q082_dd","q090_mp",,,
"answer","wenig","a082_2","q082_dd","q090_mp",,,
"answer","viel","a082_3","q082_dd","q090_mp",,,
"answer","dicht","a082_4","q082_dd","q090_mp",,,
,,,,,,,
"question","Gesamtbedeckung Makrophyten, in %","q090_mp",,,,,"slider"
"answer","%","a090_1","q090_mp","q111_mf","slider","0,100,50",
,,,,,,,
"question","Arten der Makrophyten","q091_mpa",,,,,"multiselect boxes"
"answer","Enteromorpha/Ulva (Darmtang/Meersalat)","a091_1","q091_mpa","q092_mpv",,,
"answer","Fucus (Blasentang)","a091_2","q091_mpa","q092_mpv",,,
"answer","Porphyra (Hauttang)","a091_3","q091_mpa","q092_mpv",,,
"answer","Chaetomorpha (Uferborstenhaar)","a091_4","q091_mpa","q092_mpv",,,
"answer","Gracilaria (roter Besentang)","a091_5","q091_mpa","q092_mpv",,,
"answer","Zostera (Seegras)","a091_6","q091_mpa","q092_mpv",,,
"answer","Spartina (Schlickgras)","a091_7","q091_mpa","q092_mpv",,,
"answer","Salicornia (Queller)","a091_8","q091_mpa","q092_mpv",,,
"answer","andere Grünalge","a091_9","q091_mpa","q092_mpv",,,
"answer","andere Braunalge","a091_10","q091_mpa","q092_mpv",,,
"answer","andere Rotalge","a091_11","q091_mpa","q092_mpv",,,
,,,,,,,
"question","Vorkommen, Abdeckung in %","q092_mpv",,,,,"for each makrophytes that was selected before"
"answer","mehrere Einzelpflanzen","a092_1","q092_mpv","q111_mf",,,"slider (starting at option 1 – single occurrences)"
"answer","<10","a092_2","q092_mpv","q111_mf",,,
"answer","10<20","a092_3","q092_mpv","q111_mf",,,
"answer","20<50","a092_4","q092_mpv","q111_mf",,,
"answer","50<70","a092_5","q092_mpv","q111_mf",,,
"answer",">=70","a092_6","q092_mpv","q111_mf",,,
,,,,,,,
"question","Makrofauna","q111_mf",,,,,"multiselect boxes"
"answer","Heteromastus (Kotpillenwurm)","a111_1","q111_mf","q112_mfv","checkbox",,
"answer","Mya (Sandklaffmuschel)","a111_2","q111_mf","q112_mfv","checkbox",,
"answer","Cerastoderma (Herzmuschel)","a111_3","q111_mf","q112_mfv","checkbox",,
"answer","Corophium (Schlickkrebs)","a111_4","q111_mf","q112_mfv","checkbox",,
"answer","Hydrobia (Wattschnecke)","a111_5","q111_mf","q112_mfv","checkbox",,
"answer","Lanice (Bäumchenröhrenwurm)","a111_6","q111_mf","q112_mfv","checkbox",,
"answer","Arenicola (Wattwurm)","a111_7","q111_mf","q113_ac","checkbox",,
"answer","Littorina (Strandschnecke)","a111_8","q111_mf","q112_mfv","checkbox",,
"answer","Nereis (Seeringelwurm)","a111_9","q111_mf","q112_mfv","checkbox",,
,,,,,,,
"question","Vorkommen, Abdeckung in %","q112_mfv",,,,,"for each makrofauna type that was selected before"
"answer","vereinzelt","a112_1","q112_mfv","q121_s",,,"radio button"
"answer","wenig","a112_2","q112_mfv","q121_s",,,
"answer","viel","a112_3","q112_mfv","q121_s",,,
"answer","dicht","a112_4","q112_mfv","q121_s",,,
,,,,,,,
"question","Anzahl Arenicola, pro m²","q113_ac",,,,,"for both juvenil and adult (either combined or 2 questions)"
"answer","pro m²","a113_1","q113_ac","q121_s","slider","0,100,50","slider"
,,,,,,,
"question","Sicht","q121_s",,,,,"radio button"
"answer","schlecht","a121_1","q121_s","q122_wr",,,
"answer","eingeschränkt","a121_2","q121_s","q122_wr",,,
"answer","gut","a121_3","q121_s","q122_wr",,,
"answer","sehr gut","a121_4","q121_s","q122_wr",,,
,,,,,,,
"question","Windrichtung","q122_wr",,,,,"arrow pointer (e.g. in combination with compass)"
"answer","[direction pointer]","a122_1","q122_wr","q123_wg",,,
,,,,,,,
"question","Windgeschwindigkeit, in Bft","q123_wg",,,,,"radio button"
"answer","0 (spiegelglatte See)","a123_1","q123_wg","q124_b",,,
"answer","1 (kleine Kräuselwellen ohne Schaumkämme)","a123_2","q123_wg","q124_b",,,
"answer","2 (Wind am Gesicht fühlbar)","a123_3","q123_wg","q124_b",,,
"answer","3 (brechende Kämme, Schaumköpfe)","a123_4","q123_wg","q124_b",,,
"answer","4 (verbreitet Schaumköpfe)","a123_5","q123_wg","q124_b",,,
"answer","5 (mäßige Wellen, vereinzelt Gischt)","a123_6","q123_wg","q124_b",,,
"answer","6 (große Wellen, ausgedehnte Schaumkämme)","a123_7","q123_wg","q124_b",,,
"answer",">=7","a123_8","q123_wg","q124_b",,,
,,,,,,,
"question","Bewölkung","q124_b",,,,,"slider"
"answer",0,"a124_1","q124_b","q125_ices",,,
"answer","1/8 – 2/8","a124_2","q124_b","q125_ices",,,
"answer","3/8 – 5/8","a124_3","q124_b","q125_ices",,,
"answer","6/8 – 7/8","a124_4","q124_b","q125_ices",,,
"answer","8/8","a124_5","q124_b","q125_ices",,,
,,,,,,,
"question","ICES Wettercode","q125_ices",,,,,"radio button"
"answer","0 (klar)","a125_1","q125_ices",,,,
"answer","1 (teilw. bewölkt)","a125_2","q125_ices",,,,
"answer","2 (geschlossene Wolkendecke)","a125_3","q125_ices",,,,
"answer","3 (Sandsturm)","a125_4","q125_ices",,,,
"answer","4 (Nebel/starker Dunst)","a125_5","q125_ices",,,,
"answer","5 (Sprühregen)","a125_6","q125_ices",,,,
"answer","6 (Regen)","a125_7","q125_ices",,,,
"answer","7 (Schnee, Schneeregen)","a125_8","q125_ices",,,,
"answer","8 (Schauer)","a125_9","q125_ices",,,,
"answer","9 (Hagel)","a125_10","q125_ices",,,,
,,,,,,,
"type","id",,,,,,
"root","q01_n",,,,,,
